"","Country","GID_0","Year","Age","LifeExpectancy","Sex"
"107","Nigeria","NGA","2025","5","55.8005","F"
"108","Nigeria","NGA","2025","6","55.3219","F"
"109","Nigeria","NGA","2025","7","54.8097","F"
"110","Nigeria","NGA","2025","8","54.2416","F"
"111","Nigeria","NGA","2025","9","53.6074","F"
"112","Nigeria","NGA","2025","10","52.9085","F"
"113","Nigeria","NGA","2025","11","52.1568","F"
"114","Nigeria","NGA","2025","12","51.368","F"
"115","Nigeria","NGA","2025","13","50.5572","F"
"116","Nigeria","NGA","2025","14","49.7375","F"
"117","Nigeria","NGA","2025","15","48.9193","F"
"118","Nigeria","NGA","2025","16","48.1102","F"
"119","Nigeria","NGA","2025","17","47.3145","F"
"120","Nigeria","NGA","2025","18","46.5323","F"
"121","Nigeria","NGA","2025","19","45.7605","F"
"122","Nigeria","NGA","2025","20","44.9943","F"
"123","Nigeria","NGA","2025","21","44.2292","F"
"124","Nigeria","NGA","2025","22","43.4629","F"
"125","Nigeria","NGA","2025","23","42.6951","F"
"126","Nigeria","NGA","2025","24","41.9275","F"
"127","Nigeria","NGA","2025","25","41.1621","F"
"128","Nigeria","NGA","2025","26","40.4008","F"
"129","Nigeria","NGA","2025","27","39.6446","F"
"130","Nigeria","NGA","2025","28","38.8934","F"
"131","Nigeria","NGA","2025","29","38.1463","F"
"132","Nigeria","NGA","2025","30","37.402","F"
"133","Nigeria","NGA","2025","31","36.6592","F"
"134","Nigeria","NGA","2025","32","35.9171","F"
"135","Nigeria","NGA","2025","33","35.1754","F"
"136","Nigeria","NGA","2025","34","34.434","F"
"137","Nigeria","NGA","2025","35","33.6933","F"
"138","Nigeria","NGA","2025","36","32.9539","F"
"139","Nigeria","NGA","2025","37","32.2162","F"
"140","Nigeria","NGA","2025","38","31.4805","F"
"141","Nigeria","NGA","2025","39","30.7468","F"
"142","Nigeria","NGA","2025","40","30.0148","F"
"143","Nigeria","NGA","2025","41","29.2836","F"
"144","Nigeria","NGA","2025","42","28.5519","F"
"145","Nigeria","NGA","2025","43","27.8182","F"
"146","Nigeria","NGA","2025","44","27.0812","F"
"147","Nigeria","NGA","2025","45","26.3402","F"
"148","Nigeria","NGA","2025","46","25.5955","F"
"149","Nigeria","NGA","2025","47","24.8481","F"
"150","Nigeria","NGA","2025","48","24.0999","F"
"151","Nigeria","NGA","2025","49","23.353","F"
"152","Nigeria","NGA","2025","50","22.6095","F"
"153","Nigeria","NGA","2025","51","21.8711","F"
"154","Nigeria","NGA","2025","52","21.1385","F"
"155","Nigeria","NGA","2025","53","20.412","F"
"156","Nigeria","NGA","2025","54","19.6913","F"
"157","Nigeria","NGA","2025","55","18.976","F"
"158","Nigeria","NGA","2025","56","18.2663","F"
